Comments,Sentiment
adee pahara bera sadde ahunath natewenwane,Pos
me wage gon hukannala genna epa pako,Neg
subadayaka paniwidayak balaporothuwen apith balagena imu,Pos
ayiyo demapiyange sohona ran ridiyen heduwath wedaknee janathawa hena illanawa hadapu demapiyanta hitiyoth hodata hedi dewiyoth namata wadi,Neg
eka nam ridenna dila thiyanwa iya ah,Pos
atthatama mamath sihhala baudhda mata thiyennath oya rata wetharai ,Pos
balanna thiyena hadiyawa ,Neg
supiriyak thama ithim ammoh,Pos
ykoo nakwt harenda onee aniwa blhan oka yana duara,Pos
kiya piyau mun ho unge nati enne me rataya jatiyata agamata adaretada hitapiyau,Neg
ado ka gahanne nathuwa program eka karapanko ,Neg
harima adarei aratai pasbarataii bs jaya weewa,Pos
brother charles ta godak garu karanawa mama buddhist kenek widiyata dalada samidu pihitai oba tumata,Pos
lassanai godak adarei denna tama,Pos
eka nam aththa akke chiththa adina ewun ekka inna amarui aththa eka bs oyata,Pos
thwa ekak mathaka thiya ganna puthe aththa ta vada api yahapath de saha yahapath vachana bavitha karamu aththa samahara vita thawa kenekuge hitha ridenna puluvani,Neu
me kawda monada karala thiyena wada man wage nodanna kawruth innawada danne nathi nisai ahanne,Neu
lahiru aiye oya genath visthara dena ganna asai oyage video ekak dennako oya lassanata wedasatahana karanawa good luck,Pos
ane paw baba,Neg
ane hamuduruwene oya ratak agamak nathi ranja gonna ikkamanatama gedara yanawa,Neg
 oyage me video eka iwara wenakal baluwa supiri ,Pos
oya kawru unath respect karanawa,Pos
oyyaa caseing eka awada dn nanotek ekata,Neu
apita ithin oowa heena,Neg
ane hamuduruwane obwa wahanse paressam wenna atha kiyanna gehen jiwetheta anathurak wae oba wahanse ratta menikak,Pos
ow nilamini oya hariyatama hari namuth oyata galapana kanak hoya hanna,Pos
dan kohomada pas boralu mati wali gas kalaa ewarai balu paiyoo thoo ballanta kaday giyaa paasku minimaruwaa nidahas,Neg
ade aiya itn channel eke program ekak host karanna yanawa neda,Neu
 hari adambari oya wage niliyak gana ape niliyan gana baladdi oya gahanu sanhathiyatama abimanayak,Pos
kisima erisiyawak na kasunta,Pos
ammae hamootama adaraei aath mula amathaka lae naa kasun sir thooragannava kiuva vinishchaya mandalaya ma ratak vatinavaa,Pos
intro ekanam patta ayye,Pos
me video eka youtubes la keedenek kochchara dewal iganaganiy da,Pos
ptta oi ape akek,Pos
niyamyi ekh lassnyi mru ,Pos
eswalata kanduluth awa hugaak lassanai,Pos
mama kawadawath arawinda wa ahala thibune naha lankawedi ath me wadasatahanen arawinda kiyana charithayata loku kamaththak athi una,Pos
lankawe haduna hodama sinduwak thamai kauruhari sing karanakan htye meya sing karapu pitch eka eyata too low low notes handle krnna maara amarui eyata ekai godak durata,Neu
e amma ane shok harima happy eke alda best nanga,Pos
gotabaya ape nayakaya rate mnisunge akama balprothtuwa,Pos
ape hamuduruwaru a denai kadinal thumai kiyana kena thama ape janapati,Neu
aththatama mahinda janadipathi thumage kalee ratata wadaka kalaa penena diyunuwak thibuna ,Neu
kalekin ahuwa beluwa pattama song ekak,Pos
ayie second hand sony xperiya xz phone eakak kata withara ganna eka paduda,Neu
oyage wedat api dakala tiyenawa hashini wagema tamai oyat,Neg
mihindu ayyage photo kopiyak,Neu
lahiru aiye oya present karana vidiya hondai ,Pos
 hodatama bayawela apathaya kilala banala dan mahaththaya wela hoki hoki hoo,Neg
oya lassanaie wagema wadath lassanai,Pos
man kamathima niliyak,Pos
thota wedi tiyanne thopi wadayo huththo parissamin hitapan is one neha ubalata gahanna,Neg
  aiya api oya ekkai,Pos
aiyya total price aka kiyak wenawa da build akata,Neu
kasunuth maru athal denne ,Neu
adarei bn iraj,Pos
yhapalanaha ballo kapiyu den mini mas topitaha henaha ghanawa,Neg
usaviya in na nadu kara hamuduruwo papuwak neathi hegana heatak,Neg
hoda manussaya desapalana lebal nathag uba wagea manssayak na bag ,Pos
obathuma kiyana kathawa eththa haamuduruwane,Pos
siurakdaage kunuharupa kiyana kenek lagata yana ungeth mole kachala pissekuth giya ara hashen kiyana ai me ayata buddimath wadak karanna bari,Neg
mulinma super star awe passe hiru star awa dan voice eke ela ela,Pos
meeka enakan hitiye,Pos
dula jet ekak padala wage interview ekata awilla thiyenne,Neu
lahiruta rohithage gani ganamai danaganna one,Neu
gehan serious wela innawa dakkmai,Neu
lamaita kanna bonna dena hama parent kenekma horakan karalada kanna bonna denney meya responsible nathuwa athi commit wenna bari kamak thiyanawa meyage parents lath horakan karalada kanna deela thiyenne meyata ,Neu
karana hamadema parissmin mokada singjla anthawadigen,Neg
samahara horuth poojakayo wela inna meh awasthawe poojakayangen wen wemu oba semata allah saha theruwan saranai,Neg
lahiru oya karapu hondama wedasatahana gamya nam niyama adahas thiyena niyama yuwathiyek honda adahas daranniyak ,Pos
aiya video editing walatai graphic designinggaming wlata build ekak haduwanam godak watinawa,Pos
set wenawa maruwata kasun wedda,Pos
admin athi dammaa tikakin dannako ,Neu
monawa unath sirase agaya karanna puluwan program ekak meka,Pos
ane aka athta ape hamuduruwane alla kiyala na mahama karanna mewa napuru minissunga wada,Neu
eka hariyanna ne anthimata aadare karapu kella arenna vena ekek kollek badina eka hariyan na okey,Neg
mage laptop eke display ribbon eka gihilla aiye eka lankawe nalu,Neu
jayawewa ape hamuduruwane oba wahanseta yukthtiya wenuwen ediriyatama yanna siyalu deviyangema asirwade labewa budu saranai,Pos
thawath latha walpola kenek,Pos
ubata waradinne ne machan bona eka nathara karapan a baudda darshanayata naburu weema hari watinawa namika bauddayanta wada uba hari pinkarayek,Pos
chanux ta ithin asus sponsored nea,Neu
harima shok hari adamberaii,Pos
ranjan ramanaya kiyan adahasa prof galkanda dammananda hamuduruwoth kiyala thiyanawa wenath wachana walin hamuduruwaru kalabala noviya yuthuya,Neu
mawath sub karannako yaluwane obata jaya,Pos
oka enakm maga balam hitapu mama,Pos
lassana sinduvak godak hithata danenamage kathava vage tikaksinduvath lassanai akkith lassanai mage asama niliyak issara idalama yanava hithe duka dara,Pos
ma senduwa kiyana kota attatama mata aduna mama harima adara gaikawak,Pos
yakow ara hodata kiuwa kollawa kapuwa mul gayakage vidihatama kiuwa kiyala mee kella patta aul vidihata kiuwe eka apitat theruna,Neg
monawa unath kelin minihek ,Pos
thaththa kotiya nam putha upasakada,Neg
meka balala math hoda lapk gaththa thanks aiyye jaya wewa,Pos
but tatto kalawak kalawakda,Neu
lassana song ekak akki good luck oyata thawa wadi wadiyen prekshakayo hambewenna one ,Pos
okkomth hri warada piligannaw oba samaga ma siti e kale thawa kenekge wela kiyala kududa ee love krpu anith kena video ekei sinduwei galapeemk nne,Neg
ai kattiya harunnaththe nikan halparuwanta vote denawa ,Neu
machan uba manma thama,Pos
hodama laptop vargaya mokadda,Pos
hodama gobbek paaharaya,Neg
man godakma kemati oba baya netuwa aethta katawa ape podi hamuduruwane,Pos
badinnath hamotama ba oya oya kiyana hama hethuwakma single life eke thiyenawa malli mry karanna bainm eka kelin kiyala piliganna malli sigithi athal deanne nathuwa,Neu
harima asadaranai mona tharam lassanata kiwwada,Neu
man dan me sinduwa ,Neu
godak watina program ekak respect you ,Pos
pali ganna epa ranjan kiyanne hoda manussayek horu aliye ada,Neg
me pala ponnaya rata kawa,Neg
shashika wikipidia ekeda weda ,Neu
madu kiyanne wachana walin gahanna puluwan ekek witharai wadak karanna puluwan ekek neme excellent ,Neg
used vga price gnan giye ai ayye price adu wennadda damma,Neu
karunawa mitreya wadanna ape hamuduruwane,Neu
me para coach kasun and coach shashikage teams wala coaching wala loku wenasak penawa niyamai,Pos
mokada kiyanne aa komada mage weda ,Neu
mu inna than car ekatath ac dala mahajana mudal nasthi karapu para balek meka mona huthakda me kariya kare,Neg
buddimatha nihadai welawa enkan mohu ehemada,Neg
annee pau baya wela e lamayath mata mathak une ne ,Neu
ega hiriwetenawa mewa haddi,Neu
apita ka pc ekak wath hadanna widihak nathuwa innawa kawada api me wage pc ekk hadaida bn,Neu
voice dekama mara lassanai ,Pos
hiru eken passea voice ekatath awa nea isurika ela niymai,Pos
man kamtima youtuber ubai dinoi,Pos
shok ane coach la tika adarei okkoma ,Pos
lahiru malli sudu banda mallige wedin ekatt balanna denna apatabudu saranai sudu bannda mallita,Neu
raja paksala ta hena ghapeyau ,Neg
harima dukai ane,Neu
apatanam normal ram unath raththaran wage aiye supiri build ekak balanna kalinma comment ekai like ekai,Pos
wishwa oya sadaranai,Pos
patta talk eka bro niyamai umba miyama kollek ban,Pos
ela thada kora patta ,Pos
band ekath poddak pennannko ,Neu
sinduwe theruma ekak video eka thawa ekak gelapimak nane,Neg
arage keti arthawath wadan walin pirunu mema wedasatahana niyamai siyatha morning show eka jeewithe angayak wune arawinda saha disnage wachana harabaya nisai sthuthiy ,Pos
ayya ma wage thawa reviews ganna eka hari wadagath,Pos
monada play karanna puluwn hoda games,Neu
harema adarsamat mawak oyatat duwatat taruwan saranae,Pos
aye video danner eppa,Neg
koma hari dulajwath gatta ahaa ftt balanna godak vedio thiyenawa,Pos
inna wayassa ekka galapana wada karnna waradinna na etkot,Neg
harsha hiru star eke sing kara wage mathakai,Pos
 me wage kaala kanniya hamdurula thamai bhudu darmaya nasthi keranne,Neg
muslims okkoma aka sakkilee ballo apa gawaal langka muslims sakkilee yaaga gawaal thebunoth pupurana bombayak theyanavaa vagaa,Neg
godak dewal ganna thibba interview ekak,Pos
eeya hiruni ka oya kupadei wal wesai,Neg
ekanam battle ekakma thamai ,Pos
apith tama dewiyangen ohoma ahanawa bn,Neu
mokadda bn ara mulin kiuwe pissunee digatama liyathabara wage kiyapan jayawewa brother ,Pos
ai ban wesa ganu gennanne mewata,Neg
haal walai polwalai ganan baluwama dan sapada kialath ahanna,Neg
theruwan saranai oba wahanseta dalada samidu pihitai,Pos
discord kiyanne mokakda aiye ee gana video ekak geennako,Neu
ayye mata build ekak kara ganna ayyawa contact kara ganne,Neu
anee visual eka enakan mama kochr bln htyda harima lassnaii,Pos
thawath sinhala chanda bedimak,Neg
oya gennana samaharak bahubootha ayata wada me wage hari watina pudgalayan buddimath daarshanika wadagath minissu gennala me karana de nam harima watinawa ,Pos
baba ane thuk kisima responsibility ekakin katha kalada thuk,Neg
build ekanam supiri habai add wadi wage neda,Neu
niyamai ammo wenakan balan hitiye aiye,Pos
geniyek ta mada gahana jara ponna pirimi unge hema oni epa kamak ma ishta kara ganna hoyanneth geniyek mai lejjai mea rate pirimi gena,Neg
eththa hamuduruwani man muslim igena gaththe sinhala school ekaka igena gaththe buddagama ape ratata api adarei,Pos
aiye redmi note eka gana video ekak karannako pls,Neu
gon athal ekak,Neg
kiyanwata wadaa degaluwaa wadi wage,Neu
watina video ekak,Pos
kasun gon comment denna epa voice eka hodailu pichin hodailu meke balanne voice eka newei da ehenam ai me program ekata voice kiyala namak damme ehenam danna thibuna ne wena namak,Neg
 oba ethamat hoda buddimath awanka kenek oba mnussa duwak,Pos
aravinde asama charithayak supiri nivedekaya,Pos
ranjan karannema raga pema vitharai hemotama kade yanawa maha chittayak lejjai ranjan thamuse gena nam ,Neg
yako meka mara wadak ne munta mathaka na penne na danne na ahala na kiyala na hama dema na moleth na mun mai unge paul wala bahutharayakui okkoma ekai hora thakkadi ,Neg
me sathiya athulata api lkshyk gahala demu friends,Pos
fattama voice ekak ,Pos
kata tibbata mole na ratawal rikhawe nati nisa eka awith nallu bohutharayak pirimi cheeththa adina pirimilu le bindu dakinnalu honeymoon yanne mekita tienne pirimith ekka tarahak,Neg
kiyanna tharam bari godak watina deyak coach bathiya kiwe hondama coach kenek kiyala ekenma penawa coach bathiya,Pos
sira karuwoth manussayoy mawata kauda hari waradi uda ennawaneda thisthun kotiyak davi waru bala ganivi,Neu
dan sapa athi gon w,Neg
voice lassnai but ara kiuwa wage low end eke aul ynw poddk smahara than wala sound eliyta en nha smhra welwata ,Neg
mata pennama bari naluwek habai mama asama open minded persone,Neu
gehan inn video balala naththn wadak na hina yan nthi eunuth hina wenwa pattam athal video thynn,Pos
iraj kiyanne mula idanma wenasak karapu kenek mn podikale idan iraj kiyana charithayata kamathi une music videos paththen e wagema samajaye katha kala uthu godak karunu baya nathuwa katha karala samajaye kathikawak athi karapu kenek,Pos
hadawathata danena katahadak ,Pos
ya so lucky malla all the best kasun kiyanne bhawanawak,Pos
hoda lamayek polish english english ahan inna asai,Pos
ane deviyane deviyo balanna ona me aparada deviyane,Neu
patta voice ane manda okkoma kasunwane thoraganne iita passe haminei battle waladi,Pos
wow harima lassanai akki good luck issarahatama yanna oni oya ,Pos
mewa mona sinduda bola ahpiyaw parana sindu,Neg
shashikawa thoragattu ekanm godak hodai,Pos
oba wahanse ganja gahana eka hodada,Neg
 aiye as wahagena ahanne radio ake stay blessed forever ,Pos
koch kasunwa thora ganna hada vitharak thibila ba moath wasanawath thiyanna one koch kasun kiyanne wenama aidiya akakk,Neg
hammiyoh Negative comments ekkwat nah ,Pos
heney kotakeli edan natanna apa akata thamay siyalu dena benne,Neg
oyath denne pora talk thama,Neg
 oya hoda purawesiyek,Pos
athama kumari oya haeima ahensakaee pw oyta oyaga jewathaya sarthaka wanna ona ,Pos
man nam hamadama adarei kumari akkata oyata,Pos
sirasenlu songs denne me kiyala thiyenne,Neu
bomba pipiruna christian church wala maya kiyanna sinhala baowdda ayata witharak parashna tiyanwa kiyala ,Neu
aiye oyae goda apu jiwitha kthawen hamotama ganna deyak tiyei ,Pos
ara colombo schools gana kiwwa dewal hariyatama hari,Neu
oya hoda knk second marriage nm epa daruwa hadagena idirigamana success kragnni ona,Pos
abans singer wage company walin nathuwa ratin gennanawa kiyl wikunama ewa gaththat awlk nadda bro,Neu
pissu h form karanna epa lahiru wadagath deyak nadda danna,Neg
lassanay chethi akke ,Pos
coach kenek harunata passe wena coach knk ge buzzer eka balen press karanne  ,Neu
mu kiyana eka hari ban me deshapalana ballo thanikarama ape chanden parliament ekata awith full somiye full athal eke inne thanikarama ape salli walin mu unta oni sapa widina eka witharami karanne unta oni balaya withramai,Neg
battle round ekedi kasunta banina aya idi sahenna me yana widhata ,Pos
may wagay awasthaa waadeen ekkala sanvade thiyana obaveny ayageth molay abaadeyakakde kiyaa balva gaththoth narakama naha nayde,Neu
akaparata wada balamu aya ko,Pos
aththatama thamange pawla wenuwen duk widala thiyenawada thawath mehema innawada,Neu
danna kaale idalama thibba aasavak ara va interview karana video ekak balana eka disnavath genna anivaren hari tv eke aasavenma balapu vedasatahanak meeka,Pos
wishuwal akanm ptta kthi,Neg
aiya wakrakarawa daraz promote krnawa ne,Neg
menna thavath ponnayek,Neg
sudu banda malli balanna ape kalu suddo denek video eka unlike karala ,Neg
rohitha putha budusaranai suba anagathayak,Pos
me hora detu anduwa palawa harimu duppathage hithawatha hire hire inna one un eliye,Neg
asawe baa ooii,Pos
mona vidiyata unnath kathawa hari ada samajaya pirihila pirimiya thamai kanthawa ganikawak karanne,Neu
 yako a unee maru voice eka munta mak welada,Neu
ol kara nm samanyen nawru wage wenna oni e kese wethath oba thmala wage kala karuwan ratata sampathak niduk nerogi suwa lebewaa ,Pos
paukarayo ai bn mewage video danne ubalata henagahi yako dalanda hamuduruwoth garage na,Neg
lion express app eka download karane kohomada app store eke nahane,Neg
price akath dannako badu vala,Neu
utum sihaliniapi ekatuvi mepara trainayaka himiwaruda utum nanasara himida samaga alut ape sihala baudda candawalin ape kenek,Pos
lassanai sinduwa macho,Pos
cloud mining ganna kiyala denako,Neu
ahan inna innama asai,Pos
admin okkoma video tika danne nida ganne kalin ,Pos
nugath minissu kiyana katha gannan ganna apa budu hamuduruwantath katha haduwanehitha daheriya karaganna,Neu
woww niyamai shashika akki ,Pos
ayie mata udawuk one mata aluth mac os big sure eka rewive ekak karanakao plz plz ,Neu
as wahan ahuwee niymaii bs dp ,Pos
buduammao ekah ammo ekaa newe,Pos
ape senaseema sathuta nethi unaapi diha minissu balanne yakek diha balanawa wagesamaharu karapu weradi apitath wandi gewanna wela,Neg
aththatama hodatama adarsha mawak adambari oya gena thank you ,Pos
cmnt ekk noda ynn hitune ne e adahas harima watinaw hrim open  dennatama jayen jaya ,Pos
mama demala adahanne buddadarmaya man sinhala ayata godak aadarei man danna kaale indala aasraya karanne sinhala minissu eyalage hadawath godak karunawanthai ,Pos
aye aye balana aya innwadoo ,Pos
katada hithene voice teen ameliyata coach rini turn wela ameliyawa haduwa wage meyawath coach kasun hadida kiyala ,Pos
real kollek ape ekek,Pos
personal danna family ekak polowe paya gahala inna menaka aiyath ewagemai ,Pos
mata toilet yannath wage,Neg
boruwa daanna epa,Neg
ranjanuth bella wala daana thanata thallu karaida danne naa ranjan nathi unoth rajaye goda denekta ninda yaine me amanushika kriya kaarakam maanushika aithiwasikam kada kireem,Neg
boomigreat charithayakkelin kata karana kenek kauru unatchitta adina piriminta wada hodaikauru unat niyama charitayaksamahara piriminta wada konda kelin,Pos
poddak hondata ahapn tadiya ge voice eka mahinda rajapaksha wage,Neu
man skip nokara mulu video ekama baluva marama charithayak gehan so proud of you brother,Pos
lassani akki oya me song aka lassanata kiyanawa,Pos
methumata godak pin watina manussayek,Pos
ane pala pala horu hatt dan enawa sudana wenna ,Neg
winadi ganak beluwa kiyala denune ne iwara wenakam etharam asawen beluwe,Pos
super lahiru mn meyata mara asai,Pos
wow lassani nangi good luck,Pos
uba kanna diipu atha hapa kana ballek pakaya,Neg
mn nam me voice ekata pattama asai ,Pos
meya sinhala jathiyata buddagamata thana denne ne wadak ne,Neg
kasun wadiya katawath harenna hoda couch kenek eth aparade sashikawa thoraganna thibbe ,Neu
unlike karala thiyana unge jathake mokakda danne ne ponnayo nodomakin,Neg
love respect charithayak supiri,Pos
 oya shakthimath vanna me sri lankika gathiya vereddak una venna puluva meka thami lankika kaanathavakta thiyena thena ,Neu
kuch na kaho kiwe meyage akkada ammagenui thathagenui adura gatte lassana voice ekak ,Pos
video eka nam patta,Pos
oyata chande den nee,Neg
ai sudu mahaththayata katholika agama epa une thamange agama amathaka karanna epa ,Neu
aththatama man hithanne oba wahanse hari api wesak samaranna oni prathipaththi garukawa,Pos
aththa kathaawa appa e video eke kisi awlak naa,Pos
ochchara dewal kiyana minihata wayasa kiyanda ba,Neg
attatama harima important mage palaweni comment eka,Pos
ubata muchan chande illapan mama chande denawa,Pos
samajeta hoda adarsamath katawak god job,Pos
pau mehema ipadena aya hamotama puduma danumak pihitanne harima buddimath,Pos
khomahari gotabaya dinawannee oba wahansee weda patan aran ela kirri,Pos
mahindage nama gawicha eka ponnyektawth chande denda epa aya kari ballo,Neg
patta singing thaththwa balanna aye video baluwa,Pos
obela path kale anduwen labaden shane dupath mahajsnathawate illa denne badumalla,Neg
welgamata yana enaman na,Neg
harima lassanai nangiyo mama asama sinduwak oyage katahada hari lassanai,Pos
attatama wadeya danne ne at ayage adahas watinawa,Pos
intellata amdlata kale yanda wenawa,Neu
mokkunda oi me umarala gaththe meka balannath epa wela thiyenne,Neg
matath kfc kana welawata tintin balane oneh,Neu
video ekanam maru,Pos
lassanai ada programme eka thanks godak lassanata katha kala ,Pos
oken pubg ply krnna amruid,Neu
spiriyak meka nam,Pos
harima wadagath wada sathanak thanks for you oba tumiyata,Pos
 ponnayage sabha hati dana ganna meka balanna,Neg
me mona jarawakda mewa dakinna apith jiwath wela innawane yako,Neg
sadun aiya oya godak lassanai mn oyata aadarei,Pos
api tath barida,Neu
gala pennaha kasunte bms galapenewa,Neg
mata aduna oii,Pos
kauda oi bass,Neu
mama mekata eddi subscribers vithara hitiye dan innawa jaya wewa aiyaa digatma karan yanna,Pos
aiya videos download karanna bahane oyage,Neu
godak watinawa ayiye video eka,Pos
thanikara boruwa moota kiyana taram awulak tibbe ne thanikarama prodawa ,Neg
  oya chande illannaoya wage ayai one,Pos
suba aluth avuruddak weva,Pos
ada kiuva kiyala mathake thiyaganna meya thamai st,Pos
aththtama hoda charithyak adre krna charithyak anushaka aiye oyt api hmdma innwa jaya wewa wrdinne na kwadwth ,Pos
budget gaming pc build ekak gennako,Neu
budu saranai machan api innawa oyath akka mun hama thanama ringala inne apita ratak thiyevida,Pos
sinduva nam lassanai vishuval eaka nam aul vayasaka kenek nathuva vena kenek gaththa nam hari,Neu
enna mi laga janadi pathi waranayata mage hadawathinma mama oba samaga sahodaraya,Pos
admin innawada admin nene mahaththayaa,Neu
godak lassana waduna githayak corchesla passe kanagatu wei me comments ekka mkd eyala nisai oyt issarahata ynna bari une aniwaren iilaga sare enna issarahatama ynna puluwan jaya wewa ,Pos
time eka giya aiye game gahala ivara una gaman test kare eka nisada danna echara vela giye nattan kohomat eganada yanne,Pos
meyath ithin pansen yanna ona kenek neda lahiru,Neu
 shooii man harima asa kenek ,Pos
me kalakanniya desapalanayen athuga damanna one,Neg
danith sri ekka song ekak karannako sudu manike,Pos
omariya sudu akke sinhalin kiyannako apita therenne,Neg
nelu batta ragapana vada dannene hamuduruwane owunta yanna apayak ne,Neg
ubala wage unta kawadawath waradinna epa ,Pos
lassanata gayana kala,Pos
okkma aththa godak dewal igana gatta niyamai thank u,Pos
 akka oyage kathawa apitath haiyyak oya hoda kenek oyatayi duwatayi hariyanna onauthuranna,Pos
ammoo aswahak nam wadinna epa manike ,Pos
ekma edummai adinne okkomalla ,Neu
hariyata hari apa hamuduruwana,Pos
ranjan venuven ratama eliyata bahinna vadapiliwelak sakas karanna,Neu
ane so cute eyaa all the best nanga,Pos
bohoma hoda eka kathavak kiuva bandaranayaka prathi paththi valata garu karanava kiyala obathumata mula amathaka noweima gana sathutu venava,Pos
shashika oya mawa pissek kala appa ,Pos
welgamage pudum wairayak theyanne chandrikagema malli ape rate karuma thama me wage eun,Neg
ape senior knk neda me congratulations ayiye ,Pos
menna badu niweradi maga penweemak witharai ona e athin kasun st,Pos
ahagena inna asai,Pos
redmi eke photo ekathu karala video clip hadanna giyama save dunnama eka nawetenne ayi danna kenek innwnm kiynn,Neu
 ta wada duk wedina ammala tawa kochchara innawada lankawe so ewa danne nadda,Neg
me wage igena gathtu puthtu inna tathta kenekta ratak aran yanna puluvan ape unta mula amataka una ae nesa kela una shapa weduna ,Pos
wow godak dewal danagaththa,Pos
meyawa gewanna deranata hari salakunata hari gennwanna please,Neu
superb song kiyna aya ko,Pos
math mage duwawa vitarai aran awe dan mata inna tana hama dema tiyenawa,Pos
ani wareyma apea hamuduruwanea oba wahnseata godakaka pin sihlaya wenuwena nagisitina mihi pita deviyeka,Pos
ahinsaka satutak labana minissunta garahanna hoda naha paw siduwanawa,Neu
salli thiyenakan wate inna godak yaluwo idiy ,Neg
kasun gey athal ,Neu
me song aka ahapu vara gana mathaka ne thamath ahanavamara lassana voice akak,Pos
ape adaraneeya samarasinghe sir ta neduk neerogi suwaya prarthana karamu well done ur doing good thing ,Pos
monawada belliye me kiyawanne lejjawak nedda thota hari tv mewage kenekwa geneth loketama ahanna denne mewage jara katak nodakin ubawage un nethi akama hodai monawada kiyawanne,Neg
unlimited packages thama hodaa,Pos
ettatama mata ara kellawa mathak una supiri,Pos
hoda kathawak niyamai ,Pos
mama godak adaraya karana voice ekak godak sathutui aiya,Pos
suddo lankwata enawa api americawata yanna dangalanwa,Neu
amanushika para ballo,Neg
harima lassanai ane e voice aka,Pos
sashikagen godak dewal igenaganna puluwan,Pos
oba niyama kondha pana tiyana kollak malli bs,Pos
wayasa passen ellanna hoda natthan janadi pathi wenna elluwey ayi ,Neu
ptta lssnai dukak unath lassanata galapala,Pos
ahanna ahanna asai deiyane,Pos
onna api hari tv unsubscribe kra,Neg
chilaw inna kale idan dannwa ubawa ela,Pos
ayege rupeyath malani bulathsinhala mahathmiye wage,Pos
pcguide ayye api nanotek eka ekka kathakaragaththoth apita parts tika witharak ganna puluwanda,Neu
udaya nadeeshan ayye jaya weewa,Pos
apith sinhala mechchara kal apinam jeewath une nidahase sinhala muslim minissu apita gahanna baninna awe ne sihnhalayama thama apita kelinne gon naluwek kiyawanna gon katha,Neg
ranjan thambiya tho ganata wadi ponnaya maranna oni wada deela,Neg
 supiri waddek thama itin,Pos
 oyanam harima respect ahana prasnawalata galapena pilithutlru denawa oya harima editharai budu saranai oyata ,Pos
harina ahagathane apa hamuduruwana oba whansata taruwan saranai,Pos
kochchara hathara poyata sil gaththath wadak na rohitha bro swamin wahanse kenekta amanthranaya karanna dane nathnam ,Neg
chamara weerasigha mathak una bro ,Neu
aiye contact number ekk dennamatath streaming walata ekk bild kara ganna ona,Neu
oya thamai painal anne oya thamai painal win karanne,Pos
ara pasbara kiyanne supiri charitha deakak oba hithan inna vidya hari wennath puluwan,Pos
mage asama song n ekak,Pos
malli vini production video ekekath innawa neda supiri pariganakaya,Pos
dakala purudu muunak ne kiyala iwara wenaknma hithuna passe mathak une meya hiru star awa ne kiyala giya paara,Neu
wasthi eke mage favorite eka,Pos
meyage chanal eka thiyedha,Neu
supiri hadak asama charithayak obata jaya ,Pos
ade baya wela godak,Neg
api kamathi apith obata  ,Pos
oba harima ihalai  lahiru oyatath pin ayawa gennuwata,Pos
 okage kata talanna one para balla,Neg
nanotek ekata pc parts awilla wage aluthen,Neu
koombiyo balapu ekek ,Neu
coach kasun dannawa aniwa shashika akkata thamai shuwer ekatama kiyala,Pos
me programmes aniwaryen tiyenna one bhumi ta wagema programme eka karana kenatath respect,Pos
supuri akkee kochchara ahuwath epaa wennee na ,Pos
sudusa sudusu thanata enne nahaa hodama udaharanaya,Neu
muuta thiyenneth maitri paalayage muunamai ,Neg
aiyage studio eke video ekak one aya koo,Neu
bns harima nihathamani,Pos
ithma vadagath video ekak jaya wewa priya ayiye,Pos
akka oya odai oye lankawe inne gonnunge dewal hala natanne nathuwe lankaweta hawenika vidiyeta inne akke,Neu
supiri bro pattama,Pos
aiyo shashikata giya eka aparadhe,Neg
kawuda dakke kolla as deka arinakota coaches la ma harila innawa dala kolla surprise wuna,Pos
  muslim ewunta naginewa ubata naginnea nethi unata kauruth palitha bang redda gihilla babek hadapang,Neg
anee palayan kabbo ubalage appochci inna kale ubala thun kattuwai ubalage appochchi wate hitapu anith horu tikai natupu natum apata hodata mathakai ,Neg
cantact numbers ekak nadda hoyaganna ,Neu
oyaga katawa godak hodiy hoda adarasamat hoda amma kanak hita haiy ganiyk adara hitanawa godak adaraiy mamat oyawaga ganiyk hare adambarey,Pos
meyagen newe pare inna higannek genalla interwive kalth ganna deyak thiye oonema kenekta,Neu
atthatama attha kathawak godak stuthi,Pos
menawa unth aththa katha krana mn kemethi charithyk,Pos
lankawe thawa awrudu maha jathiya hambayo wenawa ethakota ratatama mun kelinawa sinhala ammala lamai hadanna ,Neu
mata hithune mekath morning show akak kiyala interview akak kiyala hithunema nha as deka piyana ahan hitiya kiyanne mahaa denum sambharayak thiyena kiyawala ewarakaranna beri jiwetheta paadam godak egenaganna puluwan watina pothak mea ape ratata sampathak ,Pos
godak buddinath manussayek oya hamadama sathutin inna one,Pos
balala iwere unama kisima harayak nethi conversation ekak,Neg
mn hithuweth mister been wage athi kiyala,Neu
lassana costume akak lassana feel wena song akak lassanata kiuwa,Pos
balannako hadiyawa mun wa mokata genawada manda,Neg
e katahada as piyan onee tharam ahanna puluwan thanks ayye ayyage katahata eka digata ahanna awasthawak aran dunnata ,Pos
ape hamuduwane oba vahanse kypu hema deyakma atta ratata tibiya utte akama nitiyak akata sinhlada muslmd demalada katolkada kyl wenasak ne apitat one siyaluma jatin samaga sahayoggen sitimai,Pos
bullet waga maru,Pos
budu banatath unlike karanawa eka fatta kathawa ,Pos
muu patta porak,Pos
build ekata nam anduna bro,Pos
lassana voice ekak lassana song ekak idiriyatama yanna best of luck brother,Pos
moda prasna ahanna apa tawa tawat pera pasal yana daruwekuta unat awaboda wenawa dan lankawe tattwayat akka muslim okkoma ganna ona,Neg
ube patta ube hri ban niyamai,Pos
